casualty_group,killed,injured,total_casualties
1575,1,0,1
1576,0,0,0
1577,0,0,0
1578,0,0,0
1579,0,0,0
1580,0,0,0
1581,0,0,0
1582,0,0,0
1583,1,4,5
1584,0,0,0
1585,0,0,0
1586,0,NA,NA
1587,0,0,0
1588,0,0,0
1589,0,0,0
1590,5,50,55
1591,0,0,0
1592,0,1,1
1593,0,0,0
1594,0,0,0
1595,0,0,0
1596,0,0,0
1597,0,0,0
1598,0,0,0
1599,0,0,0
1600,0,0,0
1601,0,0,0
1602,0,0,0
1603,0,0,0
1604,0,0,0
1605,0,0,0
1606,0,0,0
1607,0,0,0
1608,0,0,0
1609,0,0,0
1610,0,0,0
1611,0,0,0
1612,0,0,0
1613,9,47,56
1614,0,0,0
1615,0,0,0
1616,0,0,0
1617,0,0,0
1618,0,0,0
1619,0,0,0
1620,0,0,0
1621,3,14,17
1622,0,0,0
1623,0,0,0
1624,5,23,28
1625,3,33,36
1626,0,0,0
1627,0,22,22
1628,0,0,0
1629,0,0,0
1630,0,0,0
1631,0,6,6
1632,0,0,0
1633,0,0,0
1634,0,0,0
1635,0,0,0
1636,0,0,0
1637,0,0,0
1638,0,3,3
1639,6,2,8
1640,0,3,3
1641,0,0,0
